Sum of retweet_count,
Row Labels,Total
mfreeman1978,44
MissAbsinthe,28
motleytweets,48
MrVikas,0
nickalkhazov,16
notagentsmith,3
orchidisle1,34
OTPGlobal,45
PoetAdair,51
RaRaRLN,21
Ricsand,30
sabinacorrea,4
SamiPearlman,23
ShinyDragonfly,40
silverfox8008,34
SoLAHHR,52
SteviBoo22,2
sunrayswench,44
ToniHaastrup,46
torilife,20
triangulatent,16
turrrminator,37
VTWHISTLEBLOWER,6
webbhalpern,0
iCoeurB,1
CoachCh1p,0
imwatshedesires,5
AbrieOnTheROCKS,3
CaliSoRuthless,4
Lexxyduhh,5
loserboi951,2
YourLeada,1
INF0S7R34M,1
CulturalPhoenix,0
iRepLALakers,2
Choco_La_Tae,1
nataliee_n,1
isuarmac,1
VoteNO34,0
janellewang,2
iPeggy,1
LarsTheWanderer,1
JasonLeopold,17
2LadyRoma,3
Adaya77,5
allisonkilkenny,0
choi_denny,9
ClaraJeffery,7
colleen_tweets,0
democrab,0
Flores_Occupy,0
jasoncherkis,5
K_isanasshole,1
kennethlipp,1
NatashaChart,7
occupySYDNEY,4
RaniaKhalek,0
TheRebull,8
torilife,1
Tosfm,2
Jennaaay_10,1
Alcantar_2,0
JeromeMarinSF,1
paulinemoullot,0
jess_nnz,1
BushwackCA,0
jillstewart,3
EricLaase,2
LAWeekly,0
tomorrow68,2
judyboo_,1
productofDA90s,1
JWilliamsAP,21
adlerben,5
APShaya,0
awhcolumbus,0
BlueKnight2012,12
CA_Dem,4
Fresnomac,13
happyloner,8
hellaella00,10
Hollywoodheat,0
JLo_510,15
johnmyers,0
mccartneyAP,15
OhRobert0,6
oskargarcia,0
RobertGammon,14
sjclermont,10
ToscaSac,7
TunedToTheresa,1
vpelham,0
WhenIsIt2Late,9
WWLA,0
KBDPHD,3
aronczyk,1
jazzpastord,0
SamNYlawyer,1
KBDPHD2012I,1
geanny89,0
KCBSNews,8
annfinster,1
blin90,6
dputmo,3
forcommongood1,5
SuisunVoters,2
tamarasiuda,2
keeferooni,1
taypro,0
KevinModesti,10
arrow059,10
gio_la,10
hbsalas,4
jonweisman,3
LADNMarMendoza,1
MattKDeMello,3
Mr_Misundrstood,7
RZelen,8
SoCalOpinion,1
KFIAM640,2
jellsmom,0
mom4_us,1
KPCC,4
BurwellGenStore,2
DJPKAPLC,0
Oscar_ECastillo,2
yayayarndiva,1
KPCCrina911,1
IEcourtsNow,0
KQEDnews,3
CA_Politicking,0
jadorealicejOT,2
OTKho,1
KTVU,43
aaronlmorrison,0
AliBlackat,38
All_Ta_Ment,1
AnishaDanea,0
AuntyAlias,8
blin90,45
californightowl,23
chanicebby,17
CheerGirl19,28
ChristinaMadori,29
ClarkReidSF,11
Dope415,24
DreemChaser,0
girlinchucks,42
GregCamp831,3
itsbfrazz,0
JourdanLanae,5
kayvee_,20
meankuzz,35
missrizer,39
nakedsoulofike,4
NapaRegister,9
Nooo_L,41
Oak_AllDay,32
OakFoSho,10
OakScott,18
OccupyDavis2,22
ParadigmShiftII,25
Pastorlmdew,14
princesstweety,0
Prisci_SoSweet,44
RaiderVince2005,7
RandaMarieH,27
ReaLiveArtist,19
ReezyReed,21
RoLLaJaY420,43
scuba_esteban,40
SFdirewolf,12
Stefanie_Cruz,13
T09121984,46
thisisricod,30
tmjahi1977,37
Tweet_Niek,0
kwyxz,4
ElodieBranson,2
jkbockstael,1
Mephisto_CPC,3
PinkPaink,2
L0VErica,1
Cityboii415,1
LA_Newz,1
OMZS187,0
LAcrimes,2
avildsen,1
charliehaden,1
LailaLalami,70
ana_ccastillo,45
blonDee_anna,67
bmccorkle1,17
brianpatton614,49
buffalomilk,57
Cesca_Norris,28
ChrisDuffy86,11
cmcanall,62
DanialeNabi,31
dearlystars,46
DeborahJaneOrr,7
DerekLumb,32
djesh,12
Dputamadre,60
earringddra,58
educatedlatina,0
emilyturtle,74
fiona_barnett,26
glomskilnauv4,65
GoFishiye,51
GOPDeEvolution,3
hJaime1,23
iamjmillion,61
jackofbears,53
jakesupino,69
Jane_Samuels,5
jennybach,52
JesseGortarez,54
JohnBroggio,19
JonBradfield,9
joseOblanco,44
KaraVonB,73
katjenaar,21
kellyfirehorse,71
lbarnett243,66
Librariandrew,58
LilianaSegura,0
LionheartOrg,0
lorenzguitar,47
MagnoliasWest,50
mckamber,34
medmouad,24
MichaelShawUK,4
Miggytron,36
mr_ceebs,33
musikmysoul,60
naheitzeg,20
Ntombi,72
Oemissions,27
paulj85,0
peterjukes,13
PhilipJElliott,29
RaulRazal67,25
riahTOOthikcc,64
richhumofair,16
Rios559,6
robertgor17,1
rowenaeaston,40
saketh99,69
Samuel_D_Santos,39
sherpaco,38
starseedchild1,63
thisisemad,14
ToeKnee2GX,15
TToliver03,43
turciosaihxiq6,41
TuxcedoCat,8
tylergray_06,37
Utherjohn,21
Yahemcheck,18
lanewsnow,1
twnstar2,0
LAPPL,2
L_Dean_Latham,0
PublicSafetyUSA,0
latams,3
afunkychild,15
MadisonShepard,12
matthewpalm,13
LATcrime,1
rararachel,0
latimes,166
_MissCarrieLynn,69
_pEGGYjANE,138
a_navarro626,111
ADANIASBoutique,14
adomasin,169
agtownfinest,112
AinsiSera2,72
AlbaRMorales,0
alejandro88,170
alexandruhtex,134
almaw1,141
ALYSSIA2777,75
amaxsmith,0
AmericaFest,143
AmichelSW,4
amolkold,28
andreakevans,71
AnneLaBarbera,79
AshleyAlvarado,0
AshleyRBullard,156
AudryT,0
AutumnSandeen,55
beahere7,27
Biotecchie,63
bradp00,164
Brainardman,81
brandiford,73
BryceEHughes,23
ButtercupD,0
Chardival,44
CharlesColeman3,113
chasingheartbts,152
ChipTingle,77
ChrisLeeMoore,107
ChulaDoula,98
cinimonstk,123
claudiamiles,160
ClumsyBella92,141
CourtenayCal,38
crazylilcuban,0
Cre8ivityZealot,65
crlgtm,62
CURT_92K,1
damianball,160
davidwvillar,31
democrab,0
DesireeMkayyy,166
dianemgoldstein,116
djtroublemaker,85
elexcoverage,54
emmacog,10
EvanCudworth,57
evanmcmurry,82
femalep,90
FrankenDilla,128
genghisgalahad,119
GerrickKennedy,0
gigglygladis,83
Gittyss,78
goconstance,58
GregBieger,32
gunnarsidak,3
hannahdioselina,62
Heelz4Dayzz,117
Hokuboku,0
Hthrkay,121
huntertoddlaw,0
iamjsoto,19
IamRealPierre,163
ianpatrickhines,46
iLADolceVida,0
IlluMecate,167
JasMarJD,25
Jasmin_youwhy,108
JAYisCRAY,87
jenniferlienxo,51
jenrn1970,38
JohnBenetBrandi,0
Jordan_Stewart,17
jroDestroySays,14
kaaredo,152
karinaramirez_,140
kcnresf,94
Kelz_WriteStuff,125
ketykatz,147
kingfantastic,99
lanegrisgt,148
lauradiven,109
lifejourney69,34
Lightedstar,135
LisaAndrade,66
LissaMonster,110
lovlyGift2earth,9
luckyl3,26
lyin527,163
mamitamala,20
manofarms89,92
MAOF_CA,47
MarieDenee,43
marquitos0305,149
MeticulousCole,133
MgSolidRicx,8
MikeDiggyBaby,148
Miss_Debonaire_,12
missingtextures,137
Mixhail,106
modalthetortois,35
mollypollypoket,0
mothercordes,93
MrAndrewKTurner,59
