id,retweet_id,twitter_id,user_id,text,language,screen_name,location,in_reply_to_status_id,in_reply_to_user_id,retweet_user_id,truncated,in_reply_to_screen_name,created_at,retweet_count,lat,lon,profile_image_url,source,retweeted,coordinates,favorited,geo,place,in_reply_to_calc
384,0,266062036981645312,53408235,"RT @AaronCohen777: Proposition 35, on human trafficking, passes! http://t.co/nAhV2ZTT ~LA Times",NULL,ashelina09,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:18:27",19,NULL,NULL,NULL,"TweetCaster for Android",0,NULL,0,NULL,NULL,AaronCohen777
385,0,266063467176415232,633288000,"RT @jillstewart: Landslide Victory for Proposition 35 to Increase Sex Trafficking Penalties http://t.co/P8ubgeEn via @laweekly",NULL,gorkiskunklove,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:08",3,NULL,NULL,NULL,"Mobile Web",0,NULL,0,NULL,NULL,jillstewart
386,0,266063474071855105,860801676,"@talorebologna whomever voted no on prop. 30",NULL,loklasdaiv,NULL,266063029387542528,50778661,NULL,0,talorebologna,"2012-11-07 06:24:10",0,NULL,NULL,NULL,"Twitter for Android",0,NULL,0,NULL,NULL,
387,0,266063483395780608,367312405,"RT @telescopenews: Prop. 30 now at 58 percent for No and 41 percent for Yes with 26 percent reporting.",NULL,RubenMezaASR,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:12",0,NULL,NULL,NULL,Echofon,0,NULL,0,NULL,NULL,telescopenews
388,0,266063488374411264,30543361,"RT @studentactivism: Proposition 30 slowly tightening in California. Yes vote now at 48.7% and rising.",NULL,harmeet_HD,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:13",2,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,studentactivism
389,0,266063493671837698,32778223,"Looks like Props 30-34 are a ""NO"" #California",NULL,jenni0617,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:14",0,NULL,NULL,NULL,"Twitter for iPhone",0,NULL,0,NULL,NULL,
390,0,266063544095760385,128135543,"I literally cannot afford a loss on Proposition 30 though...",NULL,x_jamesp,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:26",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,
391,0,266063547409264640,15053435,"Come on President Obama... I have to go to work tomorrow... and comfort folks freaked out about the failure of Prop. 204!",NULL,lookingfromside,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:27",0,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,
392,0,266063555990810625,34004508,"Election Coverage: Prop. 35 http://t.co/Np81Navi",NULL,SignalNews,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:29",0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,
393,0,266063556712230915,34004508,"Election Coverage: Prop. 38 http://t.co/MVr1kqoH",NULL,SignalNews,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:29",0,NULL,NULL,NULL,HootSuite,0,NULL,0,NULL,NULL,
394,0,266063564404584448,450181943,"RT @jillstewart: Landslide Victory for Proposition 35 to Increase Sex Trafficking Penalties http://t.co/P8ubgeEn via @laweekly",NULL,TheReddestRose,NULL,NULL,NULL,NULL,0,,"2012-11-07 06:24:31",3,NULL,NULL,NULL,web,0,NULL,0,NULL,NULL,jillstewart
