"id","retweet_id","twitter_id","user_id","text","language","screen_name","location","in_reply_to_status_id","in_reply_to_user_id","retweet_user_id","truncated","in_reply_to_screen_name","created_at","retweet_count","lat","lon","profile_image_url","source","retweeted","coordinates","favorited","geo","place","in_reply_to_calc"
25608,0,248942632452124674,107427209,"Monsanto’s Roundup Pesticide Causes Cancer in Study - As California heats up over Proposition 37, the November 2012 ... http://t.co/e39SgFWm",NULL,"iwantnaturalpro",NULL,NULL,NULL,NULL,0,"","2012-09-21 00:32:03",0,NULL,NULL,NULL,"HootSuite",0,"",0,"","",""
26413,0,248944061774434304,22878808,"Monsanto’s Roundup Pesticide Causes Cancer in Study - As California heats up over Proposition 37, the November 2012 ... http://t.co/rQZpfhFW",NULL,"cstraface",NULL,NULL,NULL,NULL,0,"","2012-09-21 00:37:44",0,NULL,NULL,NULL,"HootSuite",0,"",0,"","",""
27190,0,248947436901511168,16522257,"Stonyfield Chairman Throws Weight/Commitment behind Proposition 37 in California http://t.co/ZShiDfCM",NULL,"opednews",NULL,NULL,NULL,NULL,0,"","2012-09-21 00:51:08",0,NULL,NULL,NULL,"twitterfeed",0,"",0,"","",""
25610,0,248955267729989634,37388405,"Endorsements: Prop. 37 is a sour plan for food labeling http://t.co/bKzXtI5Z",NULL,"TruthAboutTrade",NULL,NULL,NULL,NULL,0,"","2012-09-21 01:22:15",0,NULL,NULL,NULL,"IFTTT",0,"",0,"","",""
26434,0,248965279567187969,304101598,"Stonyfield Chairman Throws Weight/Commitment behind Proposition 37 in California http://t.co/SLPQG4mW",NULL,"StudentCampaign",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:02:02",0,NULL,NULL,NULL,"dlvr.it",0,"",0,"","",""
24888,0,248967832744886274,78225019,"RT @thatgirlmystic: We need to pass this! RT @fsrn: #California’s Proposition 37 would require #GMO labels in supermarkets #prop37 http: ...",NULL,"OfficialHWC",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:12:11",7,NULL,NULL,NULL,"web",0,"",0,"","","thatgirlmystic"
26435,0,248970162072596480,23866483,"BRAGG LIVE FOOD PRODUCTS
SUPPORTS NON-GMO FOOD LABELING ~ Vote YES on Proposition 37! http://t.co/S7HjUlEW",NULL,"LifeDr",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:21:26",0,NULL,NULL,NULL,"Facebook",0,"",0,"","",""
28682,0,248973110454390784,306915857,"RT @cstraface: Monsanto’s Roundup Pesticide Causes Cancer in Study - As California heats up over Proposition 37, the November 2012 ... h ...",NULL,"KarynDraper",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:33:09",0,NULL,NULL,NULL,"web",0,"",0,"","","cstraface"
27937,0,248976119213207553,226110292,"RT @aktionitems: #BayFood: California Proposition 37 – Your Right to Know What is in Your Food @Cornucopia_Inst http://t.co/DQ37crOD",NULL,"wizardQi",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:45:07",3,NULL,NULL,NULL,"web",0,"",0,"","","aktionitems"
27938,0,248976158388011008,226110292,"RT @rnsilverlake: RT @bayareabites: California Proposition 37 – Your Right to Know What is in Your Food @Cornucopia_Inst http://t.co/awt ...",NULL,"wizardQi",NULL,NULL,NULL,NULL,0,"","2012-09-21 02:45:16",1,NULL,NULL,NULL,"web",0,"",0,"","","rnsilverlake"
27200,0,248984596534947840,286185449,"Monsanto and other Pesticide Companies Spend $5.5 Million More to GMO Labeling Proposition 37 http://t.co/QGHmIjQt via @organicconnect",NULL,"JuliaLittleBit",NULL,NULL,NULL,NULL,0,"","2012-09-21 03:18:48",0,NULL,NULL,NULL,"Tweet Button",0,"",0,"","",""
